name,price,url
Anti Diefstal Waterdichte Rugzak Inclusief Usb Oplaadstation - 14 t/m 15.6 inch - Zwart,199.00,/nl/nl/p/anti-diefstal-waterdichte-rugzak-inclusief-usb-oplaadstation-14-t-m-15-6-inch-zwart/9300000051720585/
Milky Kiss Stay Cute Rugzak - Schooltas meisje - Multi - Panter,199.00,/nl/nl/p/milky-kiss-stay-cute-rugzak-schooltas-meisje-multi-panter/9300000002132860/
Akyol - gymtas unicorn - gymtas voor meisjes - unicorn - unicorn gymtas - stoere gymtas - zwemtas - school - tas - rugzak - gymtas - kinderrugzak - 35cm x 28cm - trekkoord rugtas,199.00,/nl/nl/p/akyol-gymtas-unicorn-gymtas-voor-meisjes-unicorn-unicorn-gymtas-stoere-gymtas-zwemtas-school-tas-rugzak-gymtas-kinderrugzak-35cm-x-28cm-trekkoord-rugtas/9300000144779931/
Laptoptas 2 in 1 Laptop Rugtas Schoudertas voor inch laptop,199.00,/nl/nl/p/laptoptas-2-in-1-laptop-rugtas-schoudertas-voor-17-3-inch-laptop-zwart/9200000115638535/
Daniel Ray Laptop Rugzak / Rugtas / Laptoptas - Highlands - Groen - 15 inch,199.00,/nl/nl/p/daniel-ray-highlands-rolltop-laptop-rugzak-waterproof-15-6-inch-donkergroen/9300000047793199/
Case Logic Laptop tas - 17 Inch - Zwart,199.00,/nl/nl/p/case-logic-vnb217-laptop-rugzak-17-inch-zwart/1003004011667015/
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,199.00,/nl/nl/p/trvlmore-rugzak-28l-15-6-inch-laptop-rugtas-waterafstotend-antraciet/9300000075610092/
Eastpak Laptoprugzak Out of Office - blauw,199.00,/nl/nl/p/eastpak-out-of-office-rugzak-27-liter-13-3-inch-laptopvak-triple-denim/9200000101076576/
VMCA Rugzak Meisje Rugtas Jongen - Rugzakken Dames - 1 Potlood tas - Rose,199.00,/nl/nl/p/vmca-rugzak-meisje-rugtas-jongen-rugzakken-dames-1-potlood-tas-rose/9300000118681399/
VIO Products - roltop rugzak - waterdicht - anti-diefstal - met USB - laptop - duurzaam - gemaakt van gerecyclede petflessen - fietsrugzak - 18 tot 26 liter - zwart,199.00,/nl/nl/p/vio-products-roltop-rugzak-waterdicht-anti-diefstal-met-usb-laptop-duurzaam-gemaakt-van-gerecyclede-petflessen-fietsrugzak-18-tot-26-liter-zwart/9300000139279096/
"Kipling CITY PACK S Rugzak, 13 Liter - Black Peppery",199.00,/nl/nl/p/kipling-city-pack-s-rugzak-13-liter-black-peppery/9300000017122383/
Milky Kiss Rise and Shine Rugzak - Schooltas meisje - Paars - Hartjes,199.00,/nl/nl/p/milky-kiss-rise-and-shine-rugzak-schooltas-meisje-paars-hartjes/9300000102810231/
Schooltas - Rugzak Meisje - Unicorn Tas - Eenhoorn - Roze Rugtas - Paarden - Meisjes Speelgoed - Rugtas Kind - Gymtas,199.00,/nl/nl/p/schooltas-rugzak-meisje-unicorn-tas-eenhoorn-roze-rugtas-paarden-meisjes-speelgoed-rugtas-kind-gymtas/9300000048044893/
Pia Ries Rugtas Dames 6010 Tropical Leer - Multicolor,199.00,/nl/nl/p/pia-ries-rugtas-dames-6010-tropical-leer-multicolor/9200000072035668/
"TRVLMORE Rugzak - 36 L - 17,3 inch - Laptop Rugtas - Waterafstotend - Antraciet",199.00,/nl/nl/p/trvlmore-rugzak-36-l-17-3-inch-laptop-rugtas-waterafstotend-antraciet/9300000075666340/
Klein rugzakje met voorvak met rits zwart 7 liter - Rugtasjes,199.00,/nl/nl/p/klein-rugzakje-met-voorvak-met-rits-zwart-7-liter-rugtasjes/9300000105047853/
Fjällräven Kånken Unisex Rugzak,199.00,/nl/nl/p/fjallraven-kanken-unisex-rugzak-sky-blue/9200000057357928/
Gymtas - Waterafstotend - 12 liter - Zwart,199.00,/nl/nl/p/gymtas-waterafstotend-12-liter-zwart/9200000022415859/
Norlander Waterdichte Rugzak - Roltop Rugzak - Fietsrugzak,199.00,/nl/nl/p/norlander-dull-pu-waterdichte-rugzak-46l-roltop-rugzak-fietsrugzak-zwart/9300000034313825/
"Glennoo rugzak - Rugtas dames - Waterdicht - Klein - Anti-theft Vakje - Rug-, Schouder-, Handtas in één - zacht PU-leer",199.00,/nl/nl/p/glennoo-rugzak-rugtas-dames-waterdicht-klein-anti-theft-vakje-rug-schouder-handtas-in-een-zacht-pu-leer/9300000137025685/
Matein Rugzak met USB Oplaadpoort 36L Grijs Luxe Laptop Rugtas 17.3 inch - Schooltas - Heren - Dames - Jongens - Meisjes - Waterafstotend - Rugzakken,199.00,/nl/nl/p/matein-rugzak-met-usb-oplaadpoort-36l-grijs-luxe-laptop-rugtas-17-3-inch-schooltas-heren-dames-jongens-meisjes-waterafstotend-rugzakken/9300000070891678/
"Anti-diefstal rugzak - Rugtas dames - Waterdicht - Klein - Anti-theft backpack - Rug-, Schouder-, Handtas in één - Nylon - incl. verstelbare riem - Beige - Glennoo",199.00,/nl/nl/p/anti-diefstal-rugzak-rugtas-dames-waterdicht-klein-anti-theft-backpack-rug-schouder-handtas-in-een-nylon-incl-verstelbare-riem-beige-glennoo/9300000007957034/
VMCA Rugzak - Inch Laptop Rugtas,199.00,/nl/nl/p/vmca-rugzak-17-3-inch-laptop-rugtas-36l-zwart/9300000126404771/
SUITSUIT - Natura - Sand - Rugzak,199.00,/nl/nl/p/suitsuit-natura-sand-rugzak/9300000007750264/
New Mart Rugzak,199.00,/nl/nl/p/new-rebels-mart-waterafstotende-rolltop-rugzak-medium-zwart/9200000132996828/
Little Dutch Gymtas Flowers & Butterflies,199.00,/nl/nl/p/little-dutch-gymtas-flowers-butterflies/9300000127357947/
"TRVLMORE Rugzak - 36 L - 17,3 inch - Laptop Rugtas - Waterafstotend - Blauw",199.00,/nl/nl/p/trvlmore-rugzak-36-l-17-3-inch-laptop-rugtas-waterafstotend-blauw/9300000006777449/
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,199.00,/nl/nl/p/ticaba-taylor-rugzak-voor-school-werk-reizen-rugtas-voor-dames-heren-en-jongens-meisjes-backpack-zwart/9300000008329379/
Minecraft - Mobs - Rugzak - Jongens - Hoogte 41cm - 5pieces,199.00,/nl/nl/p/minecraft-mobs-rugzak-jongens-hoogte-41cm-5pieces/9300000026227823/
"TravelZ Hipster Rugtas 28 liter - Laptop rugzak 17"" - Veel compartimenten - Blauw",199.00,/nl/nl/p/travelz-hipster-rugtas-28-liter-laptop-rugzak-17-veel-compartimenten-blauw/9200000094321019/
TeddyKids rugzak kids - schooltas - teddy - beige - 10 liter,199.00,/nl/nl/p/teddykids-rugzak-kids-schooltas-teddy-beige-10-liter/9300000047595157/
Tigernu Business II laptop rugzak t/m 17 inch - 30 liter - waterafstotend - inclusief regenhoes en cijferslot,199.00,/nl/nl/p/tigernu-business-ii-laptop-rugzak-t-m-17-inch-30-liter-waterafstotend-inclusief-regenhoes-en-cijferslot/9200000095623573/
"Navy Madden Rugzak met USB Oplaadpoort 17,3 inch Grijs Luxe Laptop Rugtas - Schooltas - Heren - Dames - Jongens - Meisjes - Waterafstotend - Rugzakken",199.00,/nl/nl/p/navy-madden-rugzak-met-usb-oplaadpoort-17-3-inch-grijs-luxe-laptop-rugtas-schooltas-heren-dames-jongens-meisjes-waterafstotend-rugzakken/9300000110402247/
