sku,rating,good points,bad points
NAACC60100,"[8, 8, 9]","['Blijft goed op de plek zitten. schuift niet.', 'zit heerlijk. goed te verstellen', 'Goeie dagrugzak en voor meerdaagse wandeling']","['Nog meer afsluitbare vakken', 'Binnenvak in 2 delen ipv 1', 'Smalle heupband']"
NAACC60100,"[8, 8, 8]","['Licht..comfortabel..genoeg ruimte voor 3 1,5 liter cola flessen..', 'Zijzakjes op heupband zijn ideaal.', 'Veel vakjes']","['Prijs voor de pack was wel een beetje aan de hoge kant..\n\nEn er zit geen rain-cover bij..jammer..', 'Voor dit geld had er een regenhoes bij mogen zitten.', 'Vakken aan de zijkant van de buikband schuren langs je armen']"
NAACC60100,"[9, 9, 10]","['Kan mega veel mee. De zakjes aan de zijkanten voor de flessen zijn erg fijn. Als je even bukt vallen de flessen er niet gelijk uit. Mooi design! Heupzakjes heel fijn. En er zit klein zakje verwekt in de voorband, maar telefoon past er niet in….misschien voor banaan?', 'Gebruikt een hele week in de hoge bergen. Ik vind de rugzak ideaal met die handige heupzakken in direct bereik.  Zeer compleet en genoeg vakken. En vooral een heel goed draagcomfort.', 'Licht praktisch mooi draagconfort']","['Zakje voorop dat echt met rits dicht kan en ik mis regenhoes. Nu apart gekocht en in zakje binnenin gedaan (dus dat zakje is opgeofferd)', 'Jammer niet waterdicht']"
NAACC60100,"[8, 8, 9]","['Draagcomfort. Vakjes in de heupband, licht van gewicht.', 'Top daypack. Handig vak apart voor een waterzak en de zijvakken bij de heupband zijn heel handig voor bv een mobiel en powerbars. Hoog draag comfort.']","['mogen iets meer kleine (binnenzakjes?) in', 'Regenhoes niet standaard en daar dus ook geen logisch opbergvak voor . Geen groot afsluitbaar voorvak.', 'Er zit geen regenhoes bij, deze moet apart aangeschaft worden']"
NAACC60100,"[8, 10, 10]","['- Handige binnen-, boven- en voorvakken\n- Goed verstelbaar en daardoor comfortabel\n- Mooie kleur', 'Comfortabel, functioneel en stevig', 'Hele fijne rugzak; er past veel in en zit heerlijk op de rug.']","['- De trekkoordjes aan de ritsen kunnen los gaan en kwijtraken. Ik ben het koordje van één van de zijvakjes kwijt waardoor die moeilijk open en dicht te maken is.', 'Geen', 'niet waterdicht; je moet een aparte regenzak kopen. Voor de prijs zou je dit wel mogen verwachten.']"
NAACC60100,"[10, 10, 8]","['Zit goed op het lichaam. Wist niet dat deze op maat ingesteld kon worden', 'Goede ventilatie. Voering op heup en schouders is erg prettig. Absoluut een meerwaarde t.o.v. de iets goedkopere tassen.', 'Indeling past mij goed.']",['Tekefoonzakje van de vorige versie ontbreekt geloof ik.']
NAACC60100,"[10, 9, 9]","['Voor een dagje hiken in de Alpen was deze tas echt perfect, kon er alles in doen wat ik wou en kon na afloop van het zwemmen zelfs mijn microvezel handdoek en zwembroek er aan vast hangen om te laten drogen.', 'Draagcomfort, heupgordel\nWaterdichtheid valt mee']","['Zijzak waar waterfles in kan zou iets dieper moeten zijn', 'Nog niet.\nNog maar drie keer gebruikt.']"
NAACC60100,"[9, 8, 9]","['Optie om een waterzak in te brengen zonder  dat er ruimte in beslag wordt genomen', 'Zit goed, nice dat je hem kan verstellen als je langer bent.', 'Zit super comfortabel']","['Meer vakjes zouden handig zijn.', 'Mist een regen hoes']"
NAACC60100,"[9, 9, 9]","['Dragen', 'Hij zit erg lekker voor een rugzak.\nFijn dat je het rugpanel kan stellen', 'Draagcomfort, verstelbaarheid en kwaliteit van de rugzak (ritsen, vakken). Sizing van 22 ideaal voor dag en wandeltochten.']","['Nee', 'Regenhoes zou fijn zijn']"
NAACC60100,"[10, 6, 8]","['Deze rugzak heeft het draagcomfort van de grote zware jongens. Het ventilerende rugpand draagt bij om zwetende eigen te voorkomen.', 'Goede mogelijkheden om de wandelstokken op te bergen zowel aan de voorkant als ook aan de achterzijde. Fijne heupband en schouderbanden, goed af te stellen.', 'fijn om op de heupen te dragen']","['Geen', 'Het zakje op de schouderband voor je bril is te klein, bril blijft ook haken wanneer je het wilt pakken. De zakjes op de heupgordel zijn net te klein om je telefoon op te bergen. Het opbergnetje op de achterkant is handig voor een kaart op boekje maar is eigenlijk weer te klein om vlug een vest in op te bergen.', 'zit geen gebruiksaanwijzing bij']"
NAACC60100,"[9, 9, 9]","['Fijne rugzak voor dagwandelingen. Lichtgewicht, genoeg opbergvakjes en waterdicht materiaal. Ben zeer tevreden.', 'Prima draagconfort. Gemakkelijk instelbaar.Licht gewicht.', 'Goede afstel mogelijkheden voor een goed draagcomfort. \nLichtgewicht \nPrettig gevormd rugpand\nFijne bevestiging voor de waterzak']","['Ik heb een stukje triplex in de rug geschoven, waardoor de rugzak niet meer inzakt. Voldoet nu prima.', 'Geen']"
NAACC60100,"[9, 10, 9]","['Fijne rugzak! Prima voor dagwandelingen met drie flessen water en lunch. Door heupband niet te zwaar op de schouders.', 'Handzaam en erg prettig om te dragen', 'Licht en zit als gegoten']","['Weinig vakjes om de rugzak overzichtelijker in te delen. Ietwat dunne heupband, waardoor die soms omhoog schuift.', 'Mis alleen een regenhoes.', 'geen']"
NAACE00003,"[8, 10, 9]","['lichtgewicht en goede pasvorm.', 'De rugzak draagt comfortabel en heeft genoeg inhoud voor een lange dagtocht of een hutten tweedaagse.']","['De bandjes met gespen om te sluiten zijn wel erg smal en klein, had wel iets robuuster mogen zijn.', 'er zit in de rugzak geen tussen scheiding.\nHierdoor moet je alles naar beneden douwen.']"
NAACC60100,"[10, 9, 9]","['Draag plezier.', 'Sterk en ligt', 'Degelijke tas van goede kwaliteit. Comfortabel te dragen, stevig en makkelijk te open en sluiten ritsen.']","['Geen.', 'Veel touwtjes/koordjes..functies', 'Prijs behoorlijk hoog \nHad meer vakjes mogen hebben of mogelijkheden om aan de zijkant of onderkant bv slaapzak of andere kleinere tasjes te bevestigen']"
NAACC60100,"[9, 8, 8]","['Super licht.\nErg gemakkelijk accessible groot bovenvak.\nGoede ritsen.\nGoede en hoge zijvakken met straps.\nGoeie aanhechtingspunten voor accessoires zoals een fietshelm, skistokken, waterreservoir etc.\nDe heupsteunen hebben ritszakjes.\nZit prima.', 'De rugzak zit lekker om de schouders, weegt weinig en geeft voldoende inhoud voor dagetappes.', 'Ik heb al veel goede ervaringen gehad met Osprey producten dus het kopen van een daypack van dit merk was bijna vanzelfsprekend. Ik ben erg tevreden met de bouwkwaliteit van de spullen die ze maken, en deze rugzak is geen uitzondering. Het moet wel gezegd worden dat het materiaal wat dunnetjes aanvoelt, maar dat betekent niet dat het ook zwak is. Zoals we gewend zijn van Osprey heeft de tas ontzettend veel features, zoals een riempje om je wandelstokken snel en makkelijk op te bergen (dit is echt nuttig als je veel met stokken loopt op terrein waar je die soms niet kunt gebruiken, zoals rotspartijen of laddertjes) of een klikker om je fietshelm makkelijk op te bergen. Verder ben ik erg te spreken over de stretch-zijvakken, die zelfs als je rugzak al vol is nog steeds te gebruiken zijn. Ook de ruime ritsvakjes op de heupgordel zijn handig om snel spullen in op te bergen, zoals een zakmes of wat eten. Deze vakjes zijn nog verbazingwekkend ruim; zelfs mijn 5.9"" telefoon past er nèt in.']","['Slap ""frame"" - in lege toestand vouwt de tas dubbel.\nGeen regenhoes inbegrepen.\nBuitenvak in het midden kan water inkomen bij heftige regen - dus geen watergevoelige items kunnen daar in.\nHad nog wel een extra buitenvak met rits mogen hebben.', 'De heupband is te kort om lekker op de heupen te zitten en de ‘riem’ is wat smal. \nTe weinig vakverdeling om je spulletjes ordelijk te houden.', 'Er zit geen raincover bij de tas en de tas is niet waterdicht. Hij is wel redelijk watervast (een lichte regenbui kan hij makkelijk aan). Helaas is er ook geen apart vakje voor een regenhoes dus als je er een losse bij koopt moet offer je wel ruimte in je tas op. Zelf heb ik de raincover van een oude kapotte rugzak hergebruikt en in het mesh-vakje gestopt.\n\nVerder is het soms wat moeilijk om de tas open te krijgen of grote spullen er in te stoppen. Doordat de rug flexibel is buigt hij vaak mee en je wilt voorkomen dat de spullen tegen je rug aan gaan drukken (er zit weinig ruimte tussen de achterkant van de tas en je rug). Bovendien is de voorkant van de tas juist niet flexibel en een beetje vreemd gevormd dus is de opening soms wat onhandig. \n\nLet ook op dat je de goede maat van de tas koopt. In de gebruikershandleiding (op de site van Osprey te vinden) staat dat de S/M versie van de tas in feite 20L is, terwijl de M/L versie daadwerkelijk 22L is. De S/M versie voelt daadwerkelijk kleiner, ook qua inhoud. Natuurlijk moet je de maat kiezen die past bij je lichaamslengte maar als je denkt dat je op het randje zit zou ik voor de M/L versie gaan. De S/M is voor echt kleine ruglengtes, want bij mij kwam de heupband nog steeds boven mijn heupen uit op de allergrootste stand. Zelfs de M/L moet ik op de middenstand zetten zodat hij goed op mijn rug past.']"
NAACC60100,"[8, 9, 9]","['pasvorm en gewicht.\nde rugzak zit direct als gegoten. meerdere gepast maar deze paste direct goed.', 'Licht, zit perfect, inhoud', 'Stevige heupband, veel verstelmogelijkheden, goede kwaliteit materialen, flexibel frame zodat er zonder risico een laptop in kan']","['nog maar kort gebruikt, nog niet gevonden.', 'Rits raakt af en toe vast in stof aan de rand']"
NAACC60100,"[9, 10, 9]","['Handige, praktische toepassingen zoals o.a. kleine vakken op de heupband', 'Gewicht en kwaliteit', 'Zit erg comfortabel. Handig ingedeeld. Ideaal voor een hike-dagtocht of korte huttentrektocht.']","['Jammer dat er niet standaard een regenhoesje wordt bijgeleverd.', 'prijs/kwaliteit', 'Geen. Ik had zelf een slagje groter moeten kopen ;-)']"
NAACC60100,"[10, 8, 9]","['Fijne lichte rugzak met veel ruimte en vakjes', 'Je zult geen lichtere waterafstotende dag-rugzak vinden dan deze. De rugzak sluit goed aan op je rug (instelbare lengte) en je kunt hem goed vastklikken. Dat is vanzelfsprekend bij backpacks maar niet standaard bij day-packs. Hierdoor krijg je ook bij zwaardere bepakkingen geen last van je rug of schouders. Je kunt ook op genoeg plekken dingen kwijt. Er zijn vast rugzakken waar je nóg meer in kwijt kunt, maar de genoemde voordelen (gewicht, waterafstotend en goeie fit) wegen voor mij zwaarder.', 'Handige afsluitbare pockets in de onderste heupband links en rechts.\nIdem bovenop en binnenin goede compartimentering. Stevige rugsteun\nZonder meer goede prijs/kwaliteitverhouding']","['De  lichte stof van de rugzak maakt dat bij behoorlijke vulling de rugzak wat gaat “hangen”.\nOndanks de ruimte tussen rugsteun en rugzak was mijn rug constant bezweet. Kan natuurlijk ook aan de woestijn omstandigheden gelegen hebben, maar had meer effect van ventilatie verwacht']"
NAACC60100,"[10, 10, 9]","['Lichte tas\nPerfecte afstelmogelijkheden\nGenoeg ruimte voor een dagwandeling\nHandige mogelijkheid voor meenemen van stokken', 'Mooie lichtgewicht rugzag om mee te nemen in een vliegtuig koffer. Veel nuttige zakjes em groot genoeg voor mijn foto tas.', 'De rugzak draagt heel prettig! Genoeg ruimte om spullen mee te nemen tijdens dagtochten Inc. Overnachting']","['Geen regenhoes meegeleverd', 'Er is geen hele handige opberg plek voor een grote smartphone waar je bij kunt zonder de rugzak af te doen. Verder geen klachten.', 'De lusjes vind ik er dun, vraag me af hoe stevig ze zijn.']"
NAACC60100,"[8, 8, 8]","['Heerlijk lichte rugzak voor dagtochten die je bijna niet voelt. Ventilatie va de rug werkt perfect, ook bij hoge buitentemperatuur.', 'De bolling in de rug maakt het een fantastische rugzak voor op de fiets.', 'Het is een fijne wandel rugzak.']","['De heupband zou iets breder mogen', 'Het is jammer dat er standaard geen regenhoes wordt meegeleverd en ik had wat meer vakken binnenin de rugzak gewild.']"
NAACC60100,"[9, 10, 9]","['De tas is erg licht. Als je de tas vult met verschillende materialen voelt de tas nog zeer prettig aan om te dragen. Er zijn ook veel mogelijkheden om spullen op te bergen. Kortom een hele goede tas. Wij zijn er erg blij mee.', 'Zit prima', '- Zit als gegoten\n- Veel ruimte']","['Tot op heden hebben wij nog geen zwakke punten ontdekt.', 'Prijs', '- Geen regenhoes\n- Flesjes/bidonhouders zouden iets verder naar voren mogen']"
NAACC60100,"[9, 9, 9]","['draagt lekker, veel opberg mogelijkheid']",['prijs']
B42A190035,"[8, 9, 9]","['Zit lekker veel ruimte in en er zijn verschillende opbergvakken.', 'Ziet er mooi uit. Licht. Goede vakverdeling. Zit heerlijk. Goed in te stellen.', 'Goed afgewerkt, loopt lekker, veel vakjes, regenhoes inbegrepen']","['Nog niet ontdekt.', 'Helemaal goed. Geen minpunten.']"
B42A190035,"[10, 9, 9]","['Alles', 'Verstelbaarheid en ritsen/vakjes', 'Goede rugsteun, veel vakken, goede kwaliteit en regenhoes is inclusief']","['Nee', 'Sterkte / kwaliteit plastic onderdelen.', 'Onderst vakje is moeilijk te openen wanneer de tas goed gevuld is']"
B42A190035,"[8, 10, 9]","['Voelt goed op je rug.hangt mooi vrij', 'Zit geweldig en is gemakkelijk te pakken door de rits aan de voor- en zijkant', 'Stevig, goed af te stellen naar wens, voldoende vakken']","['Nog niet', 'Geen enkel']"
