name,review,image
Soepele zwarte leer met PU-leer rugzak,handig in gebruik,https://media.s-bol.com/Rj9Aq3GJlWWE/6Z7ZR/550x677.jpg
Soepele zwarte leer met PU-leer rugzak,supper.,https://media.s-bol.com/Rj9Aq3GJlWWE/6Z7ZR/550x677.jpg
Soepele zwarte leer met PU-leer rugzak,handig formaatgoede kwaliteit,https://media.s-bol.com/Rj9Aq3GJlWWE/6Z7ZR/550x677.jpg
Soepele zwarte leer met PU-leer rugzak,"Geschreven bij Soepele cognac leer met PU-leer rugzak
Fijne rugzak, soepel leer en mooie kleur. Draagt lekker en ritsen van goede kwaliteit. Binnenvoering slijt wel snel.",https://media.s-bol.com/Rj9Aq3GJlWWE/6Z7ZR/550x677.jpg
Soepele zwarte leer met PU-leer rugzak,"Geschreven bij Soepele cognac leer met PU-leer rugzak
Mooie kleur, mooi zacht leer, genoeg ruimte om alle spullen die dames graag bij zich hebben mee te nemen. Draagt fijn op de rug. Veel vakjes om alles netjes op te ruimen en de tas overzichtelijk te houden.",https://media.s-bol.com/Rj9Aq3GJlWWE/6Z7ZR/550x677.jpg
New Rebels Mart Waterproof Rugzak - Zwart,"Geschreven bij New Rebels Waterafstotende Rugzak Mart Taupe
Stevige tas voor mijn dochter, dagelijks gebruik voor op school. Waterdicht, al een paar keer in de stort regen op de fiets thuis gekomen, van binnen alles droog.",https://media.s-bol.com/VAZ3pqJEwAGz/550x550.jpg
New Rebels Mart Waterproof Rugzak - Zwart,"Geschreven bij New-Rebels®  Mart Backpack Mint Blauw IV | Rugtas | Rugzak
Een fijne, mooie waterdichte tas. Al aardig wat hoosbuien in Nederland gehad, alles was van binnen droog.Mijn meiden vinden de tas mooi maar eigenlijk net te klein. Straks voor het middelbaar zal deze tas net te klein zijn. Hopelijk heeft dit merk zelfde soort tassen maar dan groter. Mijn 2 meiden zijn fan!",https://media.s-bol.com/VAZ3pqJEwAGz/550x550.jpg
New Rebels Mart Waterproof Rugzak - Zwart,Verzenden ging snel.,https://media.s-bol.com/VAZ3pqJEwAGz/550x550.jpg
New Rebels Mart Waterproof Rugzak - Zwart,"Geschreven bij New Rebels® Mart - Rugtas - Regenboog - Waterafstotend - 13121087 - 28x16x39cm - Rugzak / Backpack
Mooi niet al te grote tas met toch voldoende opbergruimte. Ideaal als je naar een druk evenement gaat. Of veel mee wilt nemen maar niet met een grote tas wilt zeulen.",https://media.s-bol.com/VAZ3pqJEwAGz/550x550.jpg
New Rebels Mart Waterproof Rugzak - Zwart,"Geschreven bij New Rebels Mart Waterproof Rugzak - Petrol
Mooie tas qua model, materiaal en kleur met reflecterende streep. Na het bestellen de volgende dag al in huis.",https://media.s-bol.com/VAZ3pqJEwAGz/550x550.jpg
