name,review
Fjällräven Kånken Rugzak - Blue Ridge,"Geschreven bij Fjallraven Rugzak - UnisexKinderen en volwassenen - rood
Het is van supergoede kwaliteit, erg stevig en precies als op de foto aanggekomen. Ik ben er superblij mee en er was ook erg snelle en gratis’ verzending !"
Fjällräven Kånken Rugzak - Blue Ridge,"Geschreven bij Fjällräven Kånken Mini Black Rugzak  - Zwart
Mooie stevige tas van goede kwaliteit"
Fjällräven Kånken Rugzak - Blue Ridge,"Geschreven bij Fjällräven Rugzak Kånken - grijs
Handige tas. Fijn dat deze op meerdere manieren te dragen is. Tas is een fijn formaat. Er kan lekker veel in, maar evengoed niet te groot.De banden om de tas als rugtas te dragen zijn wel redelijk kort, met een dikke jas aan wordt het lastig.De kwaliteit is fjallraven, dus zeer goed."
Fjällräven Kånken Rugzak - Blue Ridge,"Geschreven bij Fjällräven Rugzak Kånken - grijs
Deze tote rugtas is een hele leuke tas om te zien, maar functioneel vind ik m tegenvallen in vergelijking met de rugtassen van Fjallraven. Er zitten weinig compartimenten in net zoals bij de rugtas, de strap die je uit kunt trekken om de tas als rugtas te gebruiken is te kort, de tas valt hoog op de rug (ik heb een normaal postuur en ben 1.69 lang). en dat is nu in de zomer met een dun shirtje aan, ik denk dat in de winter het mij niet lukt dit als rugtas te dragen. Helaas retour om deze reden, jammer want de tas ziet er mooi uit."
Fjällräven Kånken Rugzak - Blue Ridge,"Geschreven bij Fjällräven Kånken Sky Blue Rugzak  - Blauw
De tas ziet er leuk uit, maar daar is dan ook alles mee gezegd. De drukknopen werken niet goed, na een dag hingen er al slijtdraden aan de tas. Mijn dochter vindt m geweldig,  maar ik denk dat de kwaliteit van dit Zweeds merk zeer 'overrated' is."
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,"Geschreven bij TRVLMORE Rugzak - 28L - 15,6 inch - Laptop Rugtas - Waterafstotend - Blauw
Gekocht voor mijn zoon. Ging naar de 2e en was nu (helaas) alweer toe aan nieuwe tas. Deze voelt erg degelijk en sterk aan. Ook nog mooi geprijsd! Vandaag is mn zoon er voor eerst mee naar school geweest. Volle schooldag, al zn boeken en lunch + drinkfles paste met gemak. Hij vond m nog stoer ook!"
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,"Geschreven bij TRVLMORE Rugzak - 25 L - 15,6 inch - Laptop Rugtas - Waterafstotend - Zwart
Voor de prijs een super goede deal! Hiervoor de daypack van Travelmore gehad, die was nog iets kleiner, maar miste een beschermd laptopvak.Het vak is iets minder dik dan mijn laptopsleeve, maar ben nu een paar keer met mijn MacBook op pad geweest en maak me geen zorgen dat die kapot gaat. Kan ik mijn sleeve thuislaten!Eerste indruk: levenslange garantie, mooi materiaal, geen losse draden / stiksels, veel vakjes, ritsen van hoge kwaliteit. De USB is een leuke extra, vraag me alleen af of ik daardoor de volledige rugtas nog kan wassen in de wasmachine? Wat ik vroeger nog wel eens deed met mijn Eastpak.Denk dat je moeilijk een betere kantoortas gaat vinden voor dit bedrag."
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,"Geschreven bij TRVLMORE Rugzak - 28L - 15,6 inch - Laptop Rugtas - Waterafstotend - Blauw
In de loop der jaren al aardig wat tassen versleten. Ik was erg onder de indruk van het design, zelfs de verpakking van de tas ziet er gaaf uit. Stoere blauwe kleur, de rits naden zien er ook heel degelijk uit. Bij andere tassen wil dit wel eens gauw scheuren. Goede tas hoor happy ermee!"
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,"Geschreven bij TRVLMORE Rugzak - 25 L - 15,6 inch - Laptop Rugtas - Waterafstotend - Zwart
Was opzoek naar een nieuwe multifunctionele rugtas zonder dat ik daar voor te veel moest betalen. Ik kan zeggen dat ik die bij deze heb gevonden. Een onverwachts goede koop! Hiervoor langere tijd een Northface in gebruik gehad. Maar was opzoek naar een lichtere rugtas met meer gemak voor naar m’n werk, deze voldoet hier echt prima aan, ben er dus ook erg blij mee:)Kortom, fijne rugtas, een aanrader voor zowel voor op vakantie als voor naar het werk!"
TRVLMORE Rugzak - inch - Laptop Rugtas - Waterafstotend,Bij binnenkomst werd ik aardig verrast door de aandacht die de verpakking heeft gekregen. Bovenmaats top! Vervolgens meteen op de proef gesteld gedurende de dag. Heerlijk comfort en een groter dan verwachtte ruimte. De verdeling van vakken is simpelweg fantastisch en de tas voldoet meer dan verwacht aan mijn eisen! Top aanschaf.
